,energy,count
10,0.0429,0.40937911714285197
11,0.0572,0.4910616852840221
12,0.07150000000000001,0.881914062208104
13,0.08580000000000002,0.8172508430439821
14,0.1001,0.6672589726497388
15,0.1144,0.43809685285052835
16,0.1287,0.34392999314330236
17,0.14300000000000002,0.2469029551825528
18,0.15730000000000002,0.19210863936167002
19,0.1716,0.15076489154384434
20,0.1859,0.14102482505887198
21,0.20020000000000002,0.12475272985977137
22,0.2145,0.09944917089616599
23,0.2288,0.08185005605691702
24,0.2431,0.08492925696949427
25,0.2574,0.07095045784754322
26,0.2717,0.06374847747042743
27,0.286,0.05358324935317455
28,0.3003,0.054717013705922656
29,0.3146,0.04388183392568226
30,0.32889999999999997,0.044397181358749586
31,0.3432,0.03608720400053906
32,0.3575,0.03445097590055031
33,0.37179999999999996,0.03013494114861151
34,0.3861,0.027944714558075404
35,0.4004,0.02379616772188348
36,0.41469999999999996,0.023074681315589235
37,0.429,0.02061389732269278
38,0.44329999999999997,0.018694228134517016
39,0.4576,0.015524841421153002
40,0.4719,0.015589259850286417
41,0.48619999999999997,0.012857918455029623
42,0.5005000000000001,0.013051173742429869
43,0.5148,0.009817368599932439
44,0.5291,0.010190995488906243
45,0.5434,0.008567651074744189
46,0.5577,0.00845169790230404
47,0.572,0.0067510513731818865
48,0.5863,0.007150445633809059
49,0.6006,0.006171285510981152
50,0.6149,0.004882916928312853
51,0.6292,0.004599475840125827
52,0.6435,0.004277383694458753
53,0.6577999999999999,0.004406220552725583
54,0.6721,0.0036976178322580175
55,0.6864,0.002847294567696941
56,0.7007,0.0033239909432842113
57,0.715,0.0028601782535236236
58,0.7293,0.002473667678723134
59,0.7436,0.0025896208511632813
60,0.7579,0.002267528705496206
61,0.7722,0.0018810181306957163
62,0.7865,0.0019712039314824974
63,0.8008,0.0017264139007755206
64,0.8150999999999999,0.0016619954716421057
65,0.8294,0.001520274927548593
66,0.8437,0.001365670697628397
67,0.858,0.0011595317244014693
68,0.8723,0.0014300891267618118
69,0.8865999999999999,0.0009662764370012241
70,0.9009,0.0009662764370012241
71,0.9152,0.0009147416936944922
72,0.9295,0.0009662764370012241
73,0.9438,0.001004927494481273
74,0.9581,0.0007987885212543453
75,0.9724,0.0006570679771608324
76,0.9867,0.0006441842913341494
77,1.0010000000000001,0.0006441842913341494
78,1.0153,0.0007086027204675644
79,1.0296,0.0005539984905473684
80,1.0439,0.0007214864062942473
81,1.0582,0.0003478595173204407
82,1.0725,0.00038651057480048966
83,1.0868,0.0005024637472406365
84,1.1011,0.0003478595173204407
85,1.1154,0.00038651057480048966
86,1.1297,0.00045092900393390467
87,1.144,0.00036074320314712365
88,1.1583,0.00036074320314712365
89,1.1726,0.00042516163228053865
90,1.1869,0.00033497583149375774
91,1.2012,0.0002447900307069768
92,1.2155,0.0002705574023603428
93,1.2298,0.00028344108818702577
94,1.2441,0.00029632477401370875
95,1.2584,0.00028344108818702577
96,1.2727,0.00019325528740024483
97,1.287,0.0002705574023603428
98,1.3013,0.00019325528740024483
99,1.3156,0.00019325528740024483
100,1.3299,0.0002576737165336598
101,1.3442,0.00021902265905361082
102,1.3585,0.00019325528740024483
103,1.3728,0.00016748791574687887
104,1.3871,0.00028344108818702577
105,1.4014,0.0002447900307069768
106,1.4157,0.0002447900307069768
107,1.43,0.00023190634488029382
108,1.4443,0.00011595317244014691
109,1.4586,0.0001288368582668299
110,1.4729,5.153474330673196e-05
111,1.4872,0.00014172054409351288
112,1.5015,0.00015460422992019586
113,1.5158,0.00018037160157356182
114,1.5301,0.00020613897322692784
115,1.5444,0.0001288368582668299
116,1.5587,0.0002447900307069768
117,1.573,0.00010306948661346392
118,1.5873,0.0001288368582668299
119,1.6016,6.441842913341495e-05
120,1.6159,0.00016748791574687887
121,1.6302,0.00010306948661346392
122,1.6445,9.018580078678091e-05
123,1.6588,0.00010306948661346392
124,1.6731,9.018580078678091e-05
125,1.6874,6.441842913341495e-05
126,1.7017,0.00010306948661346392
127,1.716,0.0001288368582668299
128,1.7303,0.0001288368582668299
129,1.7446,0.0001288368582668299
130,1.7589,0.00010306948661346392
131,1.7732,0.00011595317244014691
132,1.7875,0.0001288368582668299
133,1.8018,5.153474330673196e-05
134,1.8161,7.730211496009793e-05
135,1.8304,0.00011595317244014691
136,1.8447,7.730211496009793e-05
137,1.859,0.00010306948661346392
138,1.8733,1.288368582668299e-05
139,1.8876,5.153474330673196e-05
140,1.9019,0.00010306948661346392
141,1.9162,5.153474330673196e-05
142,1.9305,0.0001288368582668299
143,1.9448,5.153474330673196e-05
144,1.9591,5.153474330673196e-05
145,1.9734,5.153474330673196e-05
146,1.9877,5.153474330673196e-05
147,2.0020000000000002,3.8651057480048966e-05
148,2.0163,5.153474330673196e-05
149,2.0306,5.153474330673196e-05
150,2.0449,5.153474330673196e-05
151,2.0592,0.00010306948661346392
152,2.0735,0.00014172054409351288
153,2.0878,2.576737165336598e-05
154,2.1021,9.018580078678091e-05
155,2.1164,1.288368582668299e-05
156,2.1307,7.730211496009793e-05
157,2.145,5.153474330673196e-05
158,2.1593,6.441842913341495e-05
159,2.1736,5.153474330673196e-05
160,2.1879,0.0001288368582668299
161,2.2022,7.730211496009793e-05
162,2.2165,3.8651057480048966e-05
163,2.2308,2.576737165336598e-05
164,2.2451,5.153474330673196e-05
165,2.2594,3.8651057480048966e-05
166,2.2737,7.730211496009793e-05
167,2.288,2.576737165336598e-05
168,2.3023000000000002,9.018580078678091e-05
169,2.3166,3.8651057480048966e-05
170,2.3309,2.576737165336598e-05
